Year,SB_SBmsy,F_Fmsy
1952,4.45598203627453,0.000702649188184763
1953,4.46201376728141,0.00182033447397013
1954,4.46094099210669,0.0114419747570647
1955,4.45362087914977,0.016742026542652
1956,4.44226734188398,0.0134333336718012
1957,4.43279116117395,0.00969878050018785
1958,4.42718012631402,0.0185487342993207
1959,4.41643133975947,0.0214493872038829
1960,4.40434158423652,0.0148717037458242
1961,4.39666387955469,0.0250316298244367
1962,4.38402196033887,0.0239034655727384
1963,4.3719006526049,0.0337840033305241
1964,4.35618765151635,0.0177743366875501
1965,4.35039782079396,0.0420004467776164
1966,4.3308459673645,0.0490369403856503
1967,4.30725543092432,0.0409149294802149
1968,4.28867117863284,0.0589959688474153
1969,4.25968521410805,0.0496458779687865
1970,4.2349430219656,0.0442579937654214
1971,4.21987684120298,0.0799640547099499
1972,4.17449950305268,0.079880791608704
1973,4.13351843963799,0.0614202451184468
1974,4.11741103591168,0.078117543129271
1975,4.09051803471795,0.0502808098859702
1976,4.08312429993532,0.0833448412416356
1977,4.05545826957157,0.0308513144400556
1978,4.06207371648235,0.0363194663038291
1979,4.06714836375492,0.0694419341409177
1980,4.05025215475308,0.0787455703014733
1981,4.02444244613775,0.102221195536285
1982,3.97877062068458,0.0975417077058985
1983,3.93672204079701,0.0631550622950154
1984,3.9171491525602,0.0716016977549425
1985,3.8946682022076,0.087167328371394
1986,3.87057808909293,0.0897982392900298
1987,3.84552037484027,0.0894215245270757
1988,3.82866623545312,0.129832559934202
1989,3.79549960296801,0.101295147385843
1990,3.76705528473241,0.0880588527969294
1991,3.74478994115513,0.0754972939492095
1992,3.75426086316332,0.0936567732502056
1993,3.79987484289628,0.0731070337012479
1994,3.92860786386273,0.101734817176569
1995,4.07020366952214,0.0718880415909345
1996,4.17569848707148,0.108003411756344
1997,4.22426785723676,0.157384015515368
1998,4.21086342625459,0.202638526446189
1999,4.11651179789757,0.225277459053847
2000,3.9301013351844,0.256213762781394
2001,3.71097122964225,0.312556481829351
2002,3.51390663700759,0.342774387457734
2003,3.31622677625801,0.354408882751338
2004,3.08439690577984,0.410187545058538
2005,2.89006157939851,0.336777921062518
2006,2.78010738269151,0.429022775504402
2007,2.65163203811507,0.455983773849294
2008,2.54956063546153,0.390621223967588
2009,2.546289722919,0.335022795812475
2010,2.62175735297984,0.27824243778114
2011,2.72225640378416,0.353727546886265
2012,2.7866965360931,0.369987205913711
2013,2.87910244477048,0.359581856767158
2014,2.97298078996219,0.389351969375425
2015,2.99966870178428,0.417231908045043
2016,2.94665046986501,0.360727739812963
2017,2.87291821141033,0.359269620137486
2018,2.73731206714311,0.43170344120305
2019,2.53173363623456,0.361320227856584
2020,2.35169672014766,0.301522597808759
2021,2.2118205099889,0.29464069941005
2022,2.13743617250646,0.31653280261568
2023,2.15015697224983,0.364828447549323
